id,domain,question_type,difficulty,question,reference_answer,evidence,model_response,accuracy_score,completeness_score,evidence_score,hallucination_flag,error_category
Q001,CAR-T,Knowledge,Easy,"What is the basic mechanism of CAR-T cell therapy?",,,,,,,,
Q002,CAR-T,Reasoning,Medium,"Why is CAR-T cell therapy generally less effective in solid tumors than in hematological malignancies?",,,,,,,,
Q003,CAR-T,Reasoning,Hard,"How can antigen heterogeneity contribute to relapse or treatment failure after CAR-T cell therapy?",,,,,,,,
Q004,Tumor Immunology,Knowledge,Easy,"What is the tumor microenvironment and how can it influence antitumor immunity?",,,,,,,,
Q005,Tumor Immunology,Reasoning,Medium,"How can an immunosuppressive tumor microenvironment impair T-cell function?",,,,,,,,
Q006,Oncolytic Virus,Knowledge,Easy,"What are the major mechanisms through which oncolytic viruses exert antitumor effects?",,,,,,,,
Q007,Oncolytic Virus,Reasoning,Hard,"What biological mechanisms could explain potential synergy between oncolytic virus therapy and CAR-T cell therapy in solid tumors?",,,,,,,,
Q008,Cytokine Biology,Knowledge,Medium,"What is IL-23 and what role does it play in immune regulation?",,,,,,,,
Q009,Cytokine Biology,Reasoning,Hard,"Why might the biological effect of IL-23 differ depending on the tumor immune microenvironment?",,,,,,,,
Q010,Biomedical Reasoning,Evidence Evaluation,Hard,"A study reports increased IFN-gamma after combination immunotherapy. Is this observation alone sufficient to conclude that the treatment improves antitumor efficacy? Explain what additional evidence would be required.",,,,,,,,
